Duration,Start station number,End station number,Bike number,Member type
1012,31208,31108,W00742,Member
61,31209,31209,W00032,Member
2690,31600,31100,W00993,Member
1406,31600,31602,W00344,Member
1413,31100,31201,W00883,Member
982,31109,31200,W00850,Member
930,31109,31105,W00804,Member
1659,31111,31208,W01084,Member
2496,31600,31601,W00812,Member
1487,31703,31603,W00803,Member
1007,31500,31200,W00256,Member
1159,31603,31603,W01023,Member
88,31602,31602,W00472,Member
202,31105,31103,W00685,Member
1407,31101,31100,W00930,Member
351,31103,31104,W00685,Member
416,31105,31207,W00476,Member
2988,31206,31603,W00955,Member
636,31002,31003,W01066,Member
509,31205,31200,W00824,Member
638,31201,31200,W00883,Member
763,31602,31109,W01029,Member
387,31009,31009,W00821,Member
1409,31600,31100,W00833,Member
1254,31002,31012,W01123,Member
1238,31002,31012,W01034,Member
277,31106,31104,W00796,Member
1532,31200,31600,W00883,Member
759,31104,31202,W00796,Member
433,31011,31011,W00764,Member
329,31100,31206,W00868,Member
775,31200,31602,W00775,Member
3044,31100,31200,W00993,Casual
1438,31000,31002,W00570,Casual
597,31202,31200,W00796,Member
1492,31603,31500,W01103,Member
956,31101,31204,W01058,Member
1185,31212,31212,W01069,Member
127,31603,31603,W01069,Member
1207,31206,31209,W00868,Member
2228,31104,31209,W00685,Member
3820,31200,31206,W00977,Casual
1168,31100,31600,W00930,Member
566,31101,31207,W00960,Member
631,31111,31200,W00958,Member
604,31100,31203,W00563,Casual
1488,31208,31600,W01084,Member
7275,31100,31103,W00976,Member
1959,31200,31108,W00256,Casual
310,31100,31100,W00159,Member
407,31111,31201,W00642,Member
1145,31003,31009,W00999,Casual
730,31600,31202,W01084,Member
907,31100,31200,W00842,Member
1406,31600,31107,W00883,Member
381,31200,31201,W00745,Member
548,31200,31111,W00850,Member
557,31009,31002,W01079,Casual
855,31111,31104,W00642,Member
1733,31802,31600,W00911,Member
4954,31200,31200,W00322,Casual
1283,31603,31600,W00829,Member
385,31101,31105,W00814,Member
635,31200,31111,W00958,Member
4839,31200,31200,W00993,Casual
466,31200,31201,W00824,Member
892,31201,31600,W01113,Casual
451,31111,31201,W00850,Member
315,31109,31111,W00569,Member
1796,31208,31204,W00428,Member
474,31111,31201,W01050,Member
1037,31602,31400,W00903,Member
729,31600,31202,W00829,Member
466,31100,31201,W00968,Member
1440,31104,31205,W00642,Member
507,31108,31208,W01007,Member
1811,31203,31203,W00563,Member
959,31208,31208,W00826,Member
1576,31603,31105,W00340,Member
462,31200,31100,W00842,Member
413,31108,31208,W01024,Member
626,31201,31111,W00968,Member
595,31111,31600,W00958,Member
1382,31204,31600,W01058,Member
220,31106,31104,W00830,Member
1159,31600,31200,W01113,Casual
1241,31602,31100,W00344,Member
375,31109,31207,W00196,Member
940,31202,31202,W00512,Member
419,31009,31004,W00821,Member
893,31100,31600,W00377,Member
142,31201,31203,W01050,Member
1879,31201,31207,W00850,Member
2060,31103,31103,W00976,Member
2550,31205,31205,W00747,Member
945,31205,31202,W00142,Member
1864,31203,31111,W01050,Member
415,31200,31104,W00796,Member
534,31201,31111,W00777,Member
1864,31201,31209,W00824,Member
1834,31201,31209,W00642,Member
500,31201,31110,W00745,Member
1640,31205,31006,W00642,Member
868,31202,31111,W00614,Member
400,31106,31103,W00795,Member
245,31203,31201,W00289,Member
583,31200,31101,W00322,Member
199,31011,31009,W00735,Member
194,31011,31009,W00764,Member
1455,31600,31111,W00958,Member
638,31100,31110,W00344,Member
259,31104,31110,W00796,Member
521,31600,31201,W00930,Member
169,31203,31202,W00563,Member
7554,31105,31105,W01059,Casual
7512,31105,31105,W00804,Casual
793,31200,31111,W00993,Member
132,31201,31203,W00289,Member
235,31201,31202,W00930,Member
375,31011,31003,W01016,Member
768,31108,31208,W00872,Member
849,31001,31001,W00758,Member
509,31110,31104,W00344,Member
486,31110,31104,W00796,Member
692,31602,31201,W00472,Member
668,31100,31200,W00842,Member
550,31600,31201,W00605,Member
952,31200,31600,W01113,Casual
790,31101,31200,W00772,Member
1107,31110,31110,W00745,Member
302,31202,31203,W00563,Member
1072,31603,31502,W00803,Member
382,31200,31201,W00842,Member
1136,31401,31201,W00318,Casual
1545,31207,31104,W00960,Member
1189,31100,31111,W00159,Member
1389,31603,31107,W00928,Member
146,31104,31106,W00796,Member
1733,31200,31104,W00772,Member
304,31201,31201,W00842,Member
2325,31106,31200,W00867,Casual
2314,31106,31200,W00380,Casual
961,31205,31200,W01008,Casual
668,31201,31111,W00472,Member
2467,31000,31007,W00819,Casual
827,31205,31200,W00747,Casual
487,31208,31108,W01024,Member
1041,31100,31107,W00194,Member
4532,31101,31203,W00322,Casual
1427,31603,31603,W00873,Member
68,31111,31111,W01050,Member
850,31111,31110,W00159,Member
490,31110,31104,W00745,Member
1035,31603,31603,W00973,Member
1322,31201,31401,W00318,Casual
752,31005,31010,W00961,Member
767,31005,31010,W01018,Member
484,31104,31101,W00772,Member
296,31400,31401,W00860,Casual
961,31201,31205,W00605,Casual
914,31201,31205,W00842,Casual
649,31107,31106,W00194,Member
915,31200,31101,W00867,Casual
347,31104,31200,W00344,Member
347,31104,31200,W00830,Member
513,31600,31203,W00911,Member
293,31202,31101,W01084,Member
357,31111,31101,W00968,Member
636,31110,31111,W00159,Member
1669,31600,31105,W01113,Member
988,31200,31200,W00380,Member
365,31111,31203,W01050,Member
2564,31111,31111,W00569,Member
204,31106,31106,W00796,Member
1186,31204,31110,W00428,Member
3841,31108,31108,W01024,Casual
3728,31108,31108,W00959,Casual
278,31106,31104,W00796,Member
148,31602,31602,W00775,Member
433,31203,31600,W00289,Member
1239,31103,31107,W00948,Member
260,31101,31203,W01067,Member
786,31010,31004,W00961,Member
791,31010,31004,W01018,Member
863,31011,31006,W00760,Casual
271,31007,31009,W00509,Casual
525,31012,31010,W01034,Member
359,31103,31103,W00795,Member
475,31205,31200,W00842,Member
3722,31209,31007,W01083,Member
384,31200,31203,W00380,Member
1122,31401,31202,W00318,Member
1620,31209,31203,W00032,Member
1593,31209,31203,W01030,Member
1088,31200,31207,W00747,Member
507,31010,31011,W01034,Member
491,31006,31011,W00760,Casual
629,31104,31207,W00745,Member
378,31104,31105,W00796,Casual
544,31101,31207,W00772,Member
1463,31203,31401,W00380,Member
349,31400,31401,W00903,Member
5854,31200,31205,W00842,Casual
5839,31200,31205,W01008,Casual
696,31401,31101,W00903,Member
1593,31600,31201,W00289,Member
1638,31206,31109,W00555,Member
224,31200,31200,W00830,Member
528,31004,31006,W00961,Member
817,31006,31011,W00642,Member
267,31602,31101,W00775,Member
764,31002,31005,W01000,Member
783,31001,31004,W00825,Member
792,31101,31400,W00968,Member
485,31207,31101,W00772,Member
1191,31003,31003,W00807,Casual
489,31400,31101,W00838,Member
503,31200,31204,W00830,Member
6030,31101,31201,W00903,Member
1366,31109,31206,W00555,Member
996,31107,31100,W00948,Casual
585,31200,31205,W00344,Member
473,31203,31100,W01050,Member
620,31603,31203,W00873,Member
418,31207,31101,W00745,Member
480,31401,31101,W00734,Member
656,31103,31200,W00795,Member
896,31104,31204,W01069,Casual
369,31208,31108,W00826,Member
254,31101,31203,W00772,Member
3022,31600,31205,W00557,Member
554,31007,31009,W00819,Member
513,31103,31200,W00976,Member
1758,31110,31100,W00198,Casual
591,31203,31600,W01030,Member
327,31101,31203,W00918,Member
133,31103,31103,W00039,Member
191,31201,31202,W01070,Member
309,31107,31104,W00971,Member
712,31201,31205,W01063,Member
2140,31110,31204,W00428,Casual
914,31105,31205,W01059,Member
554,31111,31200,W00614,Member
874,31111,31200,W00777,Member
2274,31103,31206,W00039,Member
392,31200,31100,W00976,Member
969,31105,31600,W01113,Member
480,31201,31200,W00289,Member
267,31203,31200,W00322,Member
465,31110,31203,W00519,Member
451,31602,31105,W00858,Member
298,31201,31101,W00903,Member
1595,31105,31203,W00804,Member
1208,31105,31203,W00340,Member
1035,31205,31104,W00344,Member
1714,31103,31100,W00780,Casual
759,31111,31200,W00993,Member
149,31104,31106,W00971,Member
2448,31111,31108,W00958,Casual
751,31400,31201,W00968,Member
736,31200,31100,W00523,Member
312,31201,31200,W01101,Member
81,31008,31008,W00637,Member
1352,31107,31600,W00928,Member
1200,31200,31203,W00743,Member
3821,31101,31600,W01084,Member
303,31201,31200,W00968,Member
896,31600,31100,W01058,Member
725,31100,31203,W00948,Casual
1054,31105,31200,W00814,Casual
491,31203,31600,W00873,Member
1268,31107,31205,W00883,Casual
2713,31007,31209,W00868,Member
1750,31207,31205,W00476,Member
903,31109,31600,W01029,Member
792,31400,31104,W00773,Member
3452,31104,31200,W00526,Casual
805,31105,31200,W00796,Member
148,31202,31201,W00648,Member
278,31104,31104,W00960,Member
1193,31104,31603,W00773,Member
3238,31110,31100,W00566,Casual
3049,31110,31100,W00639,Casual
5478,31110,31600,W00281,Casual
5458,31110,31600,W00471,Casual
403,31203,31200,W00032,Member
350,31011,31010,W00642,Member
695,31007,31010,W00996,Member
1251,31603,31200,W00773,Member
599,31200,31201,W01101,Casual
579,31200,31201,W00614,Member
551,31010,31002,W00642,Member
288,31010,31012,W00707,Member
780,31200,31204,W00814,Member
981,31600,31100,W00873,Member
1754,31603,31603,W00642,Member
211,31106,31104,W00971,Member
1436,31110,31205,W00492,Casual
6354,31110,31600,W00491,Casual
1322,31208,31208,W00886,Member
750,31205,31200,W00910,Member
2343,31206,31206,W00039,Casual
1016,31204,31600,W00830,Casual
1084,31007,31002,W00642,Member
219,31009,31002,W00999,Casual
794,31201,31600,W00614,Member
793,31201,31600,W01101,Casual
94,31003,31003,W01124,Member
1730,31003,31010,W01124,Member
1301,31009,31009,W00735,Casual
513,31200,31203,W00910,Member
234,31101,31101,W00745,Member
2082,31200,31106,W00773,Member
571,31200,31203,W00968,Member
